_id,date,oh_region,ICU,ICU_vented,hospitalizations
1,2020-04-02T00:00:00,CENTRAL,51,39,113
2,2020-04-03T00:00:00,CENTRAL,57,52,141
3,2020-04-04T00:00:00,CENTRAL,65,57,143
4,2020-04-05T00:00:00,CENTRAL,65,55,174
5,2020-04-06T00:00:00,CENTRAL,73,58,187
6,2020-04-07T00:00:00,CENTRAL,83,68,183
7,2020-04-08T00:00:00,CENTRAL,85,68,203
8,2020-04-09T00:00:00,CENTRAL,92,73,205
9,2020-04-10T00:00:00,CENTRAL,88,73,218
10,2020-04-11T00:00:00,CENTRAL,90,77,230
11,2020-04-12T00:00:00,CENTRAL,93,70,237
12,2020-04-13T00:00:00,CENTRAL,92,78,248
13,2020-04-14T00:00:00,CENTRAL,89,73,265
14,2020-04-15T00:00:00,CENTRAL,89,74,284
15,2020-04-16T00:00:00,CENTRAL,86,67,287
16,2020-04-17T00:00:00,CENTRAL,86,72,293
17,2020-04-18T00:00:00,CENTRAL,90,74,298
18,2020-04-19T00:00:00,CENTRAL,88,73,299
19,2020-04-20T00:00:00,CENTRAL,87,74,309
20,2020-04-21T00:00:00,CENTRAL,88,72,317
21,2020-04-22T00:00:00,CENTRAL,85,68,316
22,2020-04-23T00:00:00,CENTRAL,85,67,320
23,2020-04-24T00:00:00,CENTRAL,88,67,351
24,2020-04-25T00:00:00,CENTRAL,91,73,367
25,2020-04-26T00:00:00,CENTRAL,92,70,383
26,2020-04-27T00:00:00,CENTRAL,91,70,382
27,2020-04-28T00:00:00,CENTRAL,89,65,370
28,2020-04-29T00:00:00,CENTRAL,86,64,381
29,2020-04-30T00:00:00,CENTRAL,86,61,402
30,2020-05-01T00:00:00,CENTRAL,79,59,411
31,2020-05-02T00:00:00,CENTRAL,79,55,415
32,2020-05-03T00:00:00,CENTRAL,87,65,396
33,2020-05-04T00:00:00,CENTRAL,85,66,396
34,2020-05-05T00:00:00,CENTRAL,86,67,433
35,2020-05-06T00:00:00,CENTRAL,84,67,435
36,2020-05-07T00:00:00,CENTRAL,83,60,433
37,2020-05-08T00:00:00,CENTRAL,81,64,437
38,2020-05-09T00:00:00,CENTRAL,78,63,445
39,2020-05-10T00:00:00,CENTRAL,76,53,391
40,2020-05-11T00:00:00,CENTRAL,75,58,433
41,2020-05-12T00:00:00,CENTRAL,78,60,445
42,2020-05-13T00:00:00,CENTRAL,76,56,452
43,2020-05-14T00:00:00,CENTRAL,74,55,458
44,2020-05-15T00:00:00,CENTRAL,73,56,451
45,2020-05-16T00:00:00,CENTRAL,74,59,458
46,2020-05-17T00:00:00,CENTRAL,65,57,439
47,2020-05-18T00:00:00,CENTRAL,68,56,439
48,2020-05-19T00:00:00,CENTRAL,66,53,444
49,2020-05-20T00:00:00,CENTRAL,67,51,453
50,2020-05-21T00:00:00,CENTRAL,66,52,449
51,2020-05-22T00:00:00,CENTRAL,64,52,429
52,2020-05-23T00:00:00,CENTRAL,63,52,409
53,2020-05-24T00:00:00,CENTRAL,64,49,395
54,2020-05-25T00:00:00,CENTRAL,61,50,402
55,2020-05-26T00:00:00,CENTRAL,62,50,386
56,2020-05-27T00:00:00,CENTRAL,65,54,388
57,2020-05-28T00:00:00,CENTRAL,66,42,389
58,2020-05-29T00:00:00,CENTRAL,61,52,383
59,2020-05-30T00:00:00,CENTRAL,60,39,387
60,2020-05-31T00:00:00,CENTRAL,60,47,368
61,2020-06-01T00:00:00,CENTRAL,62,48,359
62,2020-06-02T00:00:00,CENTRAL,61,47,378
63,2020-06-03T00:00:00,CENTRAL,62,49,384
64,2020-06-04T00:00:00,CENTRAL,58,45,380
65,2020-06-05T00:00:00,CENTRAL,57,45,364
66,2020-06-06T00:00:00,CENTRAL,58,48,326
67,2020-06-07T00:00:00,CENTRAL,55,45,320
68,2020-06-08T00:00:00,CENTRAL,53,41,304
69,2020-06-09T00:00:00,CENTRAL,51,41,285
70,2020-06-10T00:00:00,CENTRAL,52,39,282
71,2020-06-11T00:00:00,CENTRAL,53,40,252
72,2020-06-12T00:00:00,CENTRAL,48,34,231
73,2020-06-13T00:00:00,CENTRAL,46,21,222
74,2020-06-14T00:00:00,CENTRAL,45,30,206
75,2020-06-15T00:00:00,CENTRAL,44,23,193
76,2020-06-16T00:00:00,CENTRAL,42,27,191
77,2020-06-17T00:00:00,CENTRAL,37,24,175
78,2020-06-18T00:00:00,CENTRAL,33,19,167
79,2020-06-19T00:00:00,CENTRAL,93,69,149
80,2020-06-20T00:00:00,CENTRAL,29,22,157
81,2020-06-21T00:00:00,CENTRAL,31,22,146
82,2020-06-22T00:00:00,CENTRAL,24,17,143
83,2020-06-23T00:00:00,CENTRAL,25,18,148
84,2020-06-24T00:00:00,CENTRAL,24,18,139
85,2020-06-25T00:00:00,CENTRAL,22,19,132
86,2020-06-26T00:00:00,CENTRAL,21,17,126
87,2020-06-27T00:00:00,CENTRAL,19,15,122
88,2020-06-28T00:00:00,CENTRAL,19,14,108
89,2020-06-29T00:00:00,CENTRAL,19,14,111
90,2020-06-30T00:00:00,CENTRAL,16,14,99
91,2020-07-01T00:00:00,CENTRAL,18,13,104
92,2020-07-02T00:00:00,CENTRAL,19,12,62
93,2020-07-03T00:00:00,CENTRAL,19,12,62
94,2020-07-05T00:00:00,CENTRAL,18,9,50
95,2020-07-06T00:00:00,CENTRAL,18,9,49
96,2020-07-07T00:00:00,CENTRAL,17,11,50
97,2020-07-08T00:00:00,CENTRAL,17,13,48
98,2020-07-09T00:00:00,CENTRAL,15,11,47
99,2020-07-10T00:00:00,CENTRAL,17,11,44
100,2020-07-11T00:00:00,CENTRAL,14,9,52
101,2020-07-12T00:00:00,CENTRAL,14,10,45
102,2020-07-13T00:00:00,CENTRAL,12,10,47
103,2020-07-14T00:00:00,CENTRAL,13,11,46
