_id,FILE_DATE,PHU_NAME,PHU_NUM,ACTIVE_CASES,RESOLVED_CASES,DEATHS
1,20200410,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,23,69,18
2,20200410,HALTON REGION,2236,112,137,9
3,20200410,HASTINGS & PRINCE EDWARD COUNTIES,2238,12,11,1
4,20200410,HURON PERTH,5183,20,8,1
5,20200410,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,13,39,0
6,20200410,LAMBTON COUNTY,2242,65,26,9
7,20200410,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,102,36,8
8,20200410,MIDDLESEX-LONDON,2244,109,53,8
9,20200410,NIAGARA REGION,2246,91,95,12
10,20200410,NORTH BAY PARRY SOUND DISTRICT,2247,2,4,0
11,20200410,NORTHWESTERN,2249,1,8,0
12,20200410,OXFORD ELGIN-ST.THOMAS,4913,13,13,2
13,20200410,PEEL REGION,2253,575,222,14
14,20200410,PETERBOROUGH COUNTY-CITY,2255,14,36,0
15,20200410,PORCUPINE,2256,21,15,2
16,20200410,RENFREW COUNTY AND DISTRICT,2257,5,6,1
17,20200410,SIMCOE MUSKOKA DISTRICT,2260,64,51,5
18,20200410,SUDBURY AND DISTRICT,2261,8,19,1
19,20200410,THUNDER BAY DISTRICT,2262,15,7,0
20,20200410,TIMISKAMING,2263,4,3,0
21,20200410,TORONTO,3895,947,582,52
22,20200410,WATERLOO REGION,2265,99,91,5
23,20200410,WELLINGTON-DUFFERIN-GUELPH,2266,90,40,1
24,20200410,WINDSOR-ESSEX COUNTY,2268,175,71,6
25,20200410,YORK REGION,2270,310,268,24
26,20200411,ALGOMA DISTRICT,2226,3,7,0
27,20200411,BRANT COUNTY,2227,21,42,1
28,20200411,CHATHAM-KENT,2240,6,11,1
29,20200411,CITY OF HAMILTON,2237,76,131,6
30,20200411,CITY OF OTTAWA,2251,208,286,8
31,20200411,DURHAM REGION,2230,137,165,20
32,20200411,EASTERN ONTARIO,2258,17,38,0
33,20200411,GREY BRUCE,2233,19,13,0
34,20200411,HALDIMAND-NORFOLK,2234,71,28,10
35,20200411,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,29,74,18
36,20200411,HALTON REGION,2236,109,147,10
37,20200411,HASTINGS & PRINCE EDWARD COUNTIES,2238,12,12,1
38,20200411,HURON PERTH,5183,18,10,1
39,20200411,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,7,45,0
40,20200411,LAMBTON COUNTY,2242,61,33,9
41,20200411,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,108,39,10
42,20200411,MIDDLESEX-LONDON,2244,120,57,8
43,20200411,NIAGARA REGION,2246,90,102,15
44,20200411,NORTH BAY PARRY SOUND DISTRICT,2247,3,4,0
45,20200411,NORTHWESTERN,2249,0,9,0
46,20200411,OXFORD ELGIN-ST.THOMAS,4913,12,14,2
47,20200411,PEEL REGION,2253,603,257,15
48,20200411,PETERBOROUGH COUNTY-CITY,2255,15,36,0
49,20200411,PORCUPINE,2256,17,19,2
50,20200411,RENFREW COUNTY AND DISTRICT,2257,4,7,1
51,20200411,SIMCOE MUSKOKA DISTRICT,2260,69,62,6
52,20200411,SUDBURY AND DISTRICT,2261,6,22,1
53,20200411,THUNDER BAY DISTRICT,2262,13,11,0
54,20200411,TIMISKAMING,2263,3,4,0
55,20200411,TORONTO,3895,999,636,69
56,20200411,WATERLOO REGION,2265,90,105,6
